date,signal,short_mavg,long_mavg,PX_LAST,rets,ret_cum_actual,positions,loop,ret_cum,inten,trend_sum,trend_sum2,days,entry_track,entry_level,index_dummy,trend_length
1999-08-24,-1.0,5.816000000000021,5.88067272727272,5.816,-0.0730000000000004,-2.9910000000000005,-2.0,5.816,0.0129999999999999,,-0.0730000000000004,0.0,0.0,1999-08-24 00:00:00,5.816,2307,0.0
1999-08-30,1.0,5.9550000000000205,5.871363636363628,5.955,0.09100000000000019,-2.8520000000000003,2.0,5.955,0.0,-0.08399999999999963,0.13900000000000023,0.0,0.0,1999-08-25 00:00:00,5.719,2311,3.0
1999-09-17,-1.0,5.871000000000018,5.87665454545454,5.871,-0.026999999999999247,-2.936,-2.0,5.871,0.0,-0.06700000000000017,-0.08399999999999963,0.0,0.0,1999-08-31 00:00:00,5.97,2325,13.0
1999-09-20,1.0,5.906000000000018,5.878236363636358,5.906,0.034999999999999254,-2.9010000000000007,2.0,5.906,-0.026999999999999247,,0.034999999999999254,0.0,0.0,1999-09-20 00:00:00,5.906,2326,0.0
1999-09-23,-1.0,5.791000000000019,5.878927272727267,5.791,-0.11699999999999999,-3.016,-2.0,5.791,0.0,-0.02499999999999858,-0.11499999999999932,0.0,0.0,1999-09-21 00:00:00,5.925,2329,2.0
1999-09-28,1.0,5.906000000000017,5.883327272727267,5.906,0.08599999999999941,-2.9010000000000007,2.0,5.906,0.0,0.028999999999999915,0.11499999999999932,0.0,0.0,1999-09-24 00:00:00,5.773,2332,2.0
1999-09-30,-1.0,5.8770000000000175,5.890199999999994,5.877,-0.08000000000000007,-2.9300000000000006,-2.0,5.877,0.0,0.051000000000000156,-0.028999999999999915,0.0,0.0,1999-09-29 00:00:00,5.957,2334,1.0
1999-10-01,1.0,5.974000000000017,5.8957818181818125,5.974,0.09700000000000042,-2.833,2.0,5.974,-0.08000000000000007,,0.09700000000000042,0.0,0.0,1999-10-01 00:00:00,5.974,2335,0.0
1999-11-04,-1.0,5.958000000000023,5.980381818181814,5.958,-0.03599999999999959,-2.849,-2.0,5.958,0.0,0.18399999999999928,-0.016000000000000014,0.0,0.0,1999-10-04 00:00:00,5.931,2359,23.0
1999-11-17,1.0,6.033000000000024,5.994672727272725,6.033,0.07500000000000018,-2.774,2.0,6.033,0.0,-0.038000000000000256,0.07500000000000018,0.0,0.0,1999-11-05 00:00:00,5.926,2368,8.0
2000-02-18,-1.0,6.489000000000015,6.499636363636362,6.489,-0.07800000000000029,-2.3180000000000005,-2.0,6.489,0.0,0.7549999999999999,0.4559999999999995,0.0,0.0,1999-11-18 00:00:00,6.052,2435,66.0
2000-04-27,1.0,6.223000000000012,6.204000000000001,6.223,0.09299999999999997,-2.5840000000000005,2.0,6.223,0.0,-0.718,-0.266,0.0,0.0,2000-02-21 00:00:00,6.493,2484,48.0
2000-06-01,-1.0,6.1910000000000025,6.200945454545456,6.191,-0.0810000000000004,-2.6160000000000005,-2.0,6.191,0.0,0.33700000000000063,-0.03200000000000003,0.0,0.0,2000-04-28 00:00:00,6.212,2509,24.0
2000-09-20,1.0,5.897,5.885018181818179,5.897,0.04499999999999993,-2.9050000000000002,2.0,5.897,0.0,-0.21999999999999975,-0.2939999999999996,0.0,0.0,2000-06-02 00:00:00,6.152,2588,78.0
2000-09-21,-1.0,5.823,5.880927272727269,5.823,-0.07399999999999984,-2.979,-2.0,5.823,0.04499999999999993,,-0.07399999999999984,0.0,0.0,2000-09-21 00:00:00,5.823,2589,0.0
2000-10-03,1.0,5.867000000000001,5.845618181818179,5.867,0.043999999999999595,-2.9350000000000005,2.0,5.867,0.0,0.0699999999999994,0.043999999999999595,0.0,0.0,2000-09-22 00:00:00,5.848,2597,7.0
2000-10-06,-1.0,5.811999999999999,5.834636363636361,5.812,-0.040000000000000036,-2.99,-2.0,5.812,0.0,0.019000000000000128,-0.054999999999999716,0.0,0.0,2000-10-04 00:00:00,5.886,2600,2.0
2000-11-03,1.0,5.827000000000002,5.760654545454542,5.827,0.08900000000000041,-2.9750000000000005,2.0,5.827,0.0,-0.22800000000000065,0.01499999999999968,0.0,0.0,2000-10-09 00:00:00,5.823,2620,19.0
